data,taxa_desocupacao,selic,ipca,pib_corrente,inpc
2012-03-01,8.0,10.5,0.21,397758.4,0.18
2012-04-01,7.8,9.75,0.64,385880.0,0.64
2012-05-01,7.7,9.0,0.36,401862.3,0.55
2012-06-01,7.6,8.5,0.08,395383.3,0.26
2012-07-01,7.5,8.5,0.43,409021.0,0.43
2012-08-01,7.4,8.0,0.41,418752.0,0.45
2012-09-01,7.1,7.5,0.57,402675.8,0.63
2012-10-01,7.0,7.5,0.59,431405.6,0.71
2012-11-01,6.8,7.25,0.6,426600.5,0.54
2012-12-01,6.9,7.25,0.79,413705.4,0.74
2013-01-01,7.3,7.25,0.86,408889.7,0.92
2013-02-01,7.8,7.25,0.6,398093.7,0.52
2013-03-01,8.1,7.25,0.47,434630.2,0.6
2013-04-01,7.9,7.25,0.55,446505.1,0.59
2013-05-01,7.7,7.5,0.37,441335.3,0.35
2013-06-01,7.5,8.0,0.26,434739.6,0.28
2013-07-01,7.4,8.0,0.03,452597.5,-0.13
2013-08-01,7.2,8.5,0.24,453781.6,0.16
2013-09-01,7.0,9.0,0.35,447755.0,0.27
2013-10-01,6.8,9.0,0.57,475713.9,0.61
2013-11-01,6.6,9.5,0.54,470324.9,0.54
2013-12-01,6.3,10.0,0.92,467252.4,0.72
2014-01-01,6.5,10.0,0.55,453278.0,0.63
2014-02-01,6.8,10.5,0.69,455501.3,0.64
2014-03-01,7.2,10.75,0.92,477201.8,0.82
2014-04-01,7.2,10.75,0.67,479726.2,0.78
2014-05-01,7.1,11.0,0.46,481275.6,0.6
2014-06-01,6.9,11.0,0.4,461320.0,0.26
2014-07-01,7.0,11.0,0.01,486881.2,0.13
2014-08-01,7.0,11.0,0.25,483768.7,0.18
2014-09-01,6.9,11.0,0.57,491475.6,0.49
2014-10-01,6.7,11.0,0.42,509081.7,0.38
2014-11-01,6.6,11.25,0.51,498553.3,0.53
2014-12-01,6.6,11.25,0.78,500889.7,0.62
2015-01-01,6.9,11.75,1.24,474641.8,1.48
2015-02-01,7.5,12.25,1.22,466982.4,1.16
2015-03-01,8.0,12.25,1.32,515034.5,1.51
2015-04-01,8.1,12.75,0.71,497159.2,0.71
2015-05-01,8.3,13.25,0.74,492230.7,0.99
2015-06-01,8.4,13.25,0.79,490580.0,0.77
2015-07-01,8.7,13.75,0.62,507320.0,0.58
2015-08-01,8.9,14.25,0.22,501232.2,0.25
2015-09-01,9.0,14.25,0.54,499676.0,0.51
2015-10-01,9.1,14.25,0.82,521368.4,0.77
2015-11-01,9.1,14.25,1.01,514117.1,1.11
2015-12-01,9.1,14.25,0.96,515444.8,0.9
2016-01-01,9.6,14.25,1.27,482507.5,1.51
2016-02-01,10.3,14.25,0.9,490164.0,0.95
2016-03-01,11.1,14.25,0.43,527627.4,0.44
2016-04-01,11.3,14.25,0.61,520771.6,0.64
2016-05-01,11.3,14.25,0.78,516169.7,0.98
2016-06-01,11.4,14.25,0.35,522108.9,0.47
2016-07-01,11.7,14.25,0.52,522443.3,0.64
2016-08-01,11.9,14.25,0.44,530511.4,0.31
2016-09-01,11.9,14.25,0.08,524215.8,0.08
2016-10-01,11.9,14.25,0.26,539834.3,0.17
2016-11-01,12.0,14.0,0.18,545672.2,0.07
2016-12-01,12.2,13.75,0.3,547302.0,0.14
2017-01-01,12.7,13.75,0.38,514648.6,0.42
2017-02-01,13.3,13.0,0.33,510340.0,0.24
2017-03-01,13.9,12.25,0.25,560684.8,0.32
2017-04-01,13.7,12.25,0.14,537460.4,0.08
2017-05-01,13.4,11.25,0.31,550544.3,0.36
2017-06-01,13.1,10.25,-0.23,542724.9,-0.3
2017-07-01,12.9,10.25,0.24,548654.4,0.17
2017-08-01,12.7,9.25,0.19,555952.3,-0.03
2017-09-01,12.5,9.25,0.16,544028.5,-0.02
