data,pib_corrente
1990-02-01,0.4
1990-03-01,0.8
1990-04-01,0.7
1990-05-01,0.8
1990-06-01,0.8
1990-07-01,0.9
1990-08-01,1.0
1990-09-01,1.1
1990-10-01,1.4
1990-11-01,1.7
1990-12-01,1.8
1991-01-01,2.1
1991-02-01,2.4
1991-03-01,2.5
1991-04-01,3.1
1991-05-01,3.6
1991-06-01,4.1
1991-07-01,4.6
1991-08-01,5.3
1991-09-01,5.6
1991-10-01,7.5
1991-11-01,9.2
1991-12-01,10.5
1992-01-01,13.1
1992-02-01,16.3
1992-03-01,19.6
1992-04-01,23.6
1992-05-01,30.1
1992-06-01,37.5
1992-07-01,46.1
1992-08-01,56.7
1992-09-01,70.8
1992-10-01,89.0
1992-11-01,110.4
1992-12-01,127.7
1993-01-01,164.0
1993-02-01,206.9
1993-03-01,294.6
1993-04-01,368.1
1993-05-01,481.6
1993-06-01,613.5
1993-07-01,841.4
1993-08-01,1149.5
1993-09-01,1578.4
1993-10-01,2071.3
1993-11-01,2792.8
1993-12-01,3534.9
1994-01-01,4562.8
1994-02-01,5793.0
1994-03-01,8520.4
1994-04-01,12828.8
1994-05-01,20504.2
1994-06-01,33126.6
1994-07-01,40788.0
1994-08-01,43873.4
1994-09-01,43836.2
1994-10-01,45234.9
1994-11-01,45926.2
1994-12-01,44210.2
1995-01-01,47028.6
1995-02-01,49954.5
1995-03-01,60024.3
1995-04-01,57789.5
1995-05-01,56350.5
1995-06-01,56726.2
1995-07-01,58788.1
1995-08-01,60950.3
1995-09-01,60610.8
1995-10-01,63428.1
1995-11-01,67762.9
1995-12-01,66577.7
1996-01-01,64133.3
1996-02-01,62202.2
1996-03-01,62987.8
1996-04-01,64019.1
1996-05-01,69488.7
1996-06-01,71103.0
1996-07-01,74969.9
1996-08-01,74798.8
1996-09-01,71744.6
1996-10-01,77200.1
1996-11-01,80449.1
1996-12-01,81667.1
1997-01-01,77582.6
1997-02-01,71072.8
1997-03-01,70461.6
1997-04-01,73576.4
1997-05-01,78110.8
1997-06-01,81202.4
1997-07-01,82058.7
1997-08-01,82132.5
1997-09-01,81987.3
1997-10-01,87297.2
1997-11-01,85390.1
1997-12-01,81216.8
1998-01-01,79363.9
1998-02-01,75828.1
1998-03-01,80508.7
1998-04-01,81166.1
1998-05-01,85207.5
1998-06-01,85562.4
1998-07-01,86938.5
1998-08-01,86371.3
1998-09-01,84733.5
1998-10-01,87302.8
1998-11-01,86316.5
1998-12-01,83051.8
1999-01-01,80936.3
1999-02-01,80929.1
1999-03-01,88802.6
1999-04-01,87739.0
1999-05-01,89223.0
1999-06-01,91746.9
1999-07-01,91230.4
1999-08-01,92283.4
1999-09-01,90611.8
1999-10-01,95872.4
1999-11-01,99563.1
1999-12-01,98772.5
2000-01-01,92576.6
2000-02-01,91770.4
2000-03-01,92579.9
2000-04-01,91376.2
2000-05-01,98727.0
2000-06-01,102685.4
2000-07-01,103410.4
2000-08-01,105177.8
2000-09-01,100307.6
2000-10-01,106951.1
2000-11-01,107678.0
2000-12-01,105851.6
2001-01-01,102530.7
2001-02-01,101635.3
2001-03-01,108303.8
2001-04-01,107572.0
2001-05-01,111202.2
2001-06-01,104949.4
2001-07-01,110758.9
2001-08-01,113064.7
2001-09-01,108700.8
2001-10-01,116139.0
2001-11-01,117882.0
2001-12-01,113016.7
2002-01-01,112374.8
2002-02-01,111477.1
2002-03-01,118444.7
2002-04-01,120385.9
2002-05-01,123552.5
2002-06-01,123424.4
2002-07-01,126856.6
2002-08-01,127800.1
2002-09-01,125137.8
2002-10-01,133125.4
2002-11-01,135966.6
2002-12-01,130241.2
2003-01-01,125711.1
2003-02-01,131383.0
2003-03-01,140147.5
2003-04-01,141003.2
2003-05-01,140058.2
2003-06-01,137926.0
2003-07-01,144626.0
2003-08-01,144367.2
2003-09-01,150356.6
2003-10-01,158352.2
2003-11-01,154756.8
2003-12-01,149262.6
2004-01-01,142458.5
2004-02-01,141650.7
2004-03-01,160674.2
2004-04-01,159111.3
2004-05-01,160113.8
2004-06-01,162569.9
2004-07-01,168215.1
2004-08-01,168069.3
2004-09-01,168968.0
2004-10-01,174389.4
2004-11-01,178016.0
2004-12-01,173515.1
2005-01-01,161645.2
2005-02-01,159967.2
2005-03-01,178097.9
2005-04-01,177915.9
2005-05-01,178126.3
2005-06-01,179515.2
2005-07-01,181671.6
2005-08-01,186714.7
2005-09-01,184472.8
2005-10-01,192952.2
2005-11-01,196416.4
2005-12-01,193089.0
2006-01-01,181703.8
2006-02-01,176995.3
2006-03-01,195571.4
2006-04-01,188584.2
2006-05-01,198732.6
2006-06-01,194660.1
2006-07-01,203497.8
2006-08-01,208796.1
2006-09-01,205553.8
2006-10-01,219040.8
2006-11-01,220983.2
2006-12-01,215330.9
2007-01-01,206665.4
2007-02-01,201550.6
2007-03-01,223206.9
2007-04-01,218922.4
2007-05-01,227533.9
2007-06-01,224198.4
2007-07-01,230915.0
2007-08-01,233903.0
2007-09-01,227028.0
2007-10-01,245688.9
2007-11-01,243269.5
2007-12-01,237380.9
2008-01-01,232828.5
2008-02-01,231983.8
2008-03-01,247243.0
2008-04-01,253193.5
2008-05-01,255741.0
2008-06-01,260590.7
2008-07-01,271286.3
2008-08-01,268548.1
2008-09-01,272768.2
2008-10-01,284924.2
2008-11-01,272113.4
2008-12-01,258582.5
2009-01-01,244784.2
2009-02-01,242501.2
2009-03-01,268841.6
2009-04-01,263428.8
2009-05-01,268742.3
2009-06-01,271406.4
2009-07-01,281459.6
2009-08-01,282508.7
